Decorate,fairy,SUPPORT,0,,,BEAUTY,NATURE,One Ally,Increase the Strength and Special of One Ally by 2,"Using some frosting the Pokemon decorates their target to look bigger, more powerful, and incredibly delicious!"
Disarming Voice,fairy,SPECIAL,2,SPECIAL,,INSIGHT,PERFORM,All Foes,Sound Based. Never Fail. Targets All foes in range.,"With a charming and manipulative cry, the user deals emotional damage to its opponent. This move always makes the target feel bad."
Draining Kiss,fairy,SPECIAL,2,SPECIAL,,DEXTERITY,CHANNEL,Foe,"The User restores HP equal to half the damage dealt, rounded down.","The user sends a kiss with a flirty intention, the foe catches the kiss but it ends up draining the target's energy."
Fairy Lock,fairy,SUPPORT,0,,,INSIGHT,NATURE,Battlefield,Blocks. Last 1 Round.,The user moves as if locking a door. It takes a few moments before everyone realizes that they are not really trapped.
Fairy Wind,fairy,SPECIAL,2,SPECIAL,,DEXTERITY,CHANNEL,Foe,-,The Pokemon strikes with a wind covered in fairy dust. It causes itching.
Fleur Cannon,fairy,SPECIAL,6,SPECIAL,,SPECIAL,CHANNEL,Foe,Lethal. Reduce User's Special by 2. -1 Accuracy.,"A light beam pierces the battlefield, it deals devastating damage but leaves newly grown flowers instead of scorched earth. The user is left feeling very tired."
Floral Healing,fairy,SUPPORT,0,,,INSIGHT,NATURE,One Ally,Basic Heal. If performed over Grassy Terrain this move is a Complete Heal.,The user creates a flower crown that heals and relaxes its wearer. Under the right conditions this move also creates a flower patch around its target.
Flower Shield,fairy,SUPPORT,0,,,INSIGHT,NATURE,Battlefield,Increase the Defense of All Grass Type Pokémon on the field.,The Pokemon uses a mysterious power that causes flowers to bloom beneath every Grass Pokemon nearby. Flora in this field is more resilient and beautiful.
Geomancy,fairy,SUPPORT,0,,,INSIGHT,NATURE,User,"Charge Move. The user charges, then Increases by 2 its Dexterity, Special and Sp. Defense scores on its next Turn.",Through a mystical connection this Pokemon absorbs the life force of earth itself to increase its power.
Light Of Ruin,fairy,SPECIAL,6,SPECIAL,,SPECIAL,CHANNEL,Foe,Lethal. Recoil. -1 Accuracy.,"By drawing energy from the Eternal Flower, the Pokemon unleashes all of its hurt. A beautiful light surrounds the area, yet the pain inside of its heart remains."
Misty Terrain,fairy,SUPPORT,0,,,INSIGHT,NATURE,Battlefield,Creatures standing on the battlefield won't be affected by Status Ailments. Dragon Type attacks won't add their Power to the Damage Pool. Lasts 4 Rounds.,The user surrounds the battlefield with a mystical mist that feels protective. Mythical Pokemon find something eerie about it.
Moonblast,fairy,SPECIAL,3,SPECIAL,,SPECIAL,CHANNEL,Foe,Roll 3 Chance Dice to Reduce foe's Special.,Summon power directly from the moon. The Pokemon blasts the foe with light.
Moonlight,fairy,SUPPORT,0,,,INSIGHT,NATURE,User,Basic Heal. If successful spend 1 Will point to activate. If performed at Night or Sunny Weather is in effect this move becomes a Complete Heal. If Rain/Sandstorm Weather is in effect this move only heals 1 HP,"The user gathers power from the light of the moon, the energy absorbed can heal most injuries."
Nature's Madness,fairy,SPECIAL,0,,,INSIGHT,NATURE,Foe,"Damage Roll is Half of the Foe's remaining HP (up to 10) Rounded down. If the remaining HP of the foe is 1, this move fails. Ignore the foe's Defenses. -1 Accuracy.","The forces of nature attack as if they had a will of their own. Water will try to drown you, plants will trap you, lightning will come out of nowhere, and even your own body will fail you."
Play Rough,fairy,PHYSICAL,3,STRENGTH,,DEXTERITY,BRAWL,Foe,Roll 1 Chance Dice to Reduce foe's Strength. -1 Accuracy.,"The user and the foe start a playful wrestle, it soon escalates into something not so pretty."
Sparkly Swirl,fairy,SPECIAL,3,SPECIAL,,DEXTERITY,CHANNEL,Foe,"If successful, heal any Status Ailment on the User and Allies. If the user of this Move is at its Final Stage of Evolution, this move fails. -1 Accuracy.",The Pokemon unleashes a swirling and glittery energy that releases a pleasant aroma that soothes the body and has healing properties.
Spirit Break,fairy,PHYSICAL,2,STRENGTH,,INSIGHT,BRAWL,Foe,"If successful, reduce the Foe's Special.",Sometimes words hurt a lot more than blows. With this Move the Pokemon deals both.
Strange Steam,fairy,SPECIAL,3,SPECIAL,,SPECIAL,CHANNEL,Foe,Roll 2 Chance Dice to Confuse the Foe.,"The user releases an addictive sweet-smelling steam, do not be fooled as it is toxic and has nasty side-effects."
Sweet Kiss,fairy,SUPPORT,0,,,CUTE,ALLURE,Foe,Confuse the foe. -2 Accuracy.,"The Pokemon moves towards the foe and plants a delicate kiss on its cheek, then leaves playfully. The foe struggles to know what it meant."
Arm Thrust,fighting,PHYSICAL,1,STRENGTH,,DEXTERITY,BRAWL,Foe,Successive Actions.,The user quickly throws blows of open-palmed thrusts against the foe.
Aura Sphere,fighting,SPECIAL,3,SPECIAL,,DEXTERITY,CHANNEL,Foe,Never Fail.,"The user channels its aura and launches this power in the form of a sphere The foe's aura is hit, leaving the target unscratched but deeply hurt."
Body Press,fighting,PHYSICAL,3,VITALITY,,STRENGTH,BRAWL,Foe,-,"The Pokémon makes a judo maneuver, using its body mass instead of its strength against the target."
Brick Break,fighting,PHYSICAL,3,STRENGTH,,DEXTERITY,BRAWL,Foe,"If a Barrier is in place on the foe's side (ie. Light Screen, Reflect) destroy the barrier and add 2 Extra Dice to the Damage Pool.",The Pokémon uses its palm or claws to perform a one-armed chop that shatters even invisible barriers.
Bulk Up,fighting,SUPPORT,0,,,VITALITY,ATHLETIC,User,Increase the User's Strength and Defense.,The Pokémon shows its muscles with intimidating poses to look bigger and stronger.
Circle Throw,fighting,PHYSICAL,2,STRENGTH,,DEXTERITY,BRAWL,Foe,Low Priority 1. The target is hit and knocked back to its trainer forcing them to send out another Pokémon. In the wild the target is sent away. Switcher Move. -1 Accuracy.,The user throws the target 60 feet out of the battlefield.
Close Combat,fighting,PHYSICAL,5,STRENGTH,,STRENGTH,BRAWL,Foe,"After dealing damage, Reduce the User's Defense and Sp. Defense.",The user attacks at a close distance to deal lots of damage. The foe is also close enough to attack.
Counter,fighting,PHYSICAL,2,,,INSIGHT,BRAWL,Foe,This Move can only deal damage if the Foe has dealt Physical Damage to the User this Round. Roll the same Damage Pool as your Foe plus 2 Extra Dice. Ignore the foe's Defenses.,"The user prepares to receive damage, then returns the same damage and more."
Cross Chop,fighting,PHYSICAL,4,STRENGTH,,DEXTERITY,BRAWL,Foe,High Critical. -2 Accuracy.,The user delivers a chop with its arms crossed trying to hot a weak spot.
Detect,fighting,SUPPORT,0,,,INSIGHT,ALERT,User,Priority. Shield Move. Reduce 3 Damage this pokemon would receive from a Damaging Move. Negate effects of Support Moves that target the user. Reduce to zero the set damage from a move the user would take.,The user detects the intentions of the attacker and acts out to minimize the damage.
Double Kick,fighting,PHYSICAL,2,STRENGTH,,DEXTERITY,BRAWL,Foe,Double Action.,The user throws two powerful kicks.
Drain Punch,fighting,PHYSICAL,3,STRENGTH,,DEXTERITY,BRAWL,Foe,"Fist Based. The user restore HP equal to half the damage dealt, rounded down.","The Pokémon strikes with a powerful punch. Through contact, it absorbs some vital energy."
Dynamic Punch,fighting,PHYSICAL,4,STRENGTH,,DEXTERITY,BRAWL,Foe,Fist Based. Confuse the foe. -3 Accuracy.,A punch that hits a small pressure point. It leavers the foe disoriented.
Final Gambit,fighting,SPECIAL,0,,,WILL,ATHLETIC,Foe,Ignore the foe's Defenses. The user faints after dealing damage.,"The Pokémon puts its last strength into an all-or-nothing attack. After that, it faints."
Flying Press,fighting,PHYSICAL,3,STRENGTH,,DEXTERITY,BRAWL,Foe,"When Dealing damage with this move, it counts as if this move was also Flying Type.",The user flies towards the foe from the sky in pure Lucha Libre style.
Focus Blast,fighting,SPECIAL,5,SPECIAL,,SPECIAL,CHANNEL,Foe,Roll 1 Chance Dice to Reduce foe's Sp. Defense. -2 Accuracy.,The user concentrates and releases a blast of energy.
Focus Punch,fighting,PHYSICAL,6,STRENGTH,,STRENGTH,BRAWL,Foe,Fist Based. Charge Move. The User will flinch if it gets hit before releasing this attack.,A brutal punch that requires calm and concentration
Force Palm,fighting,PHYSICAL,2,STRENGTH,,DEXTERITY,BRAWL,Foe,Roll 3 Chance Dice to Paralyze the foe.,A powerful open palm hit that knocks the foe away and may leave him unable to move.
Hammer Arm,fighting,PHYSICAL,4,STRENGTH,,DEXTERITY,BRAWL,Foe,"After dealing damage, Reduce user's Dexterity. -1 Accuracy.",A mighty arm thrust that leaves the user quite tired.
High Jump Kick,fighting,PHYSICAL,5,STRENGTH,,DEXTERITY,BRAWL,Foe,"If Accuracy Roll is unsuccessful, deal 5 Dice of Damage to the User. -1 Accuracy.",The user launches itself up and falls down with a brutal kick. It might hurt the user if it doesn't hit the target.
Jump Kick,fighting,PHYSICAL,4,STRENGTH,,DEXTERITY,BRAWL,Foe,"If Accuracy Roll is unsuccessful, deal 4 Dice of Damage to the User.",The Pokémon jumps and delivers a powerful kick. It might hurt the user if it doesn't hit the target.
Karate Chop,fighting,PHYSICAL,3,STRENGTH,,DEXTERITY,BRAWL,Foe,High Critical.,A basic fighting chop that has been practiced and mastered.
Low Kick,fighting,PHYSICAL,1,STRENGTH,,DEXTERITY,BRAWL,Foe,Add 1 Extra Dice to the Damage Pool for every 50 kgs. of weight on the foe. Up to +4 Extra Dice may be added this way.,"The user kicks the target making it fall, the bigger the foe the harder the fall."
Low Sweep,fighting,PHYSICAL,2,STRENGTH,,DEXTERITY,BRAWL,Foe,Reduce Foe's Dexterity by 2.,"The Pokémon strikes the foe's legs, leaving it unable to walk normally or run."
Mach Punch,fighting,PHYSICAL,2,STRENGTH,,DEXTERITY,BRAWL,Foe,Fist Based. Priority 1.,The user launches a punch so quickly that it's barely seen.
Mat Block,fighting,SUPPORT,0,,,DEXTERITY,ATHLETIC,User and Allies,Shield. Reduce 3 Dice from the foe's Damage Pool. This Move only works the first Round the User has been out.,The Pokémon uses a mat or something similar as a shield.
Meteor Assault,fighting,PHYSICAL,6,STRENGTH,,STRENGTH,BRAWL,Foe,Lethal. Must Recharge. -1 Accuracy.,"The Pokémon will make an incredible jump to the sky, then lunge towards the foe at a staggering speed, crashing the ground upon impact. The user is left very tired."
No Retreat,fighting,SUPPORT,0,,,INSIGHT,NATURE,User,"Increase the User's Strength, Dexterity, Special, Defense and Sp. Defense. The user is now blocked.",No surrender. No retreat. Until victory always.
Octolock,fighting,SUPPORT,0,,,STRENGTH,BRAWL,Foe,Block. Reduce the foe's Defense and Sp. Defense.,The user wraps its tentacles to immobilize the foe. Being so close enables the user to find weak spots.
Power-Up Punch,fighting,PHYSICAL,2,STRENGTH,,DEXTERITY,BRAWL,Foe,Fist Based. Increase User's Strength.,The Pokémon uses this punch to test the surface of an object. The user toughens up to deal better blows.
Quick Guard,fighting,SUPPORT,0,,,DEXTERITY,ATHLETIC,User and Allies,"Priority 3. Shield Move. This move will only protect against Damaging Moves with ""Priority"". Reduce 3 Dice from the foe's Damage Pool. Negate the effects of support moves that target the User and Allies.","The user reacts instinctively and defends itself and its teammates, nullifying the effects of the fastest attacks."
Revenge,fighting,PHYSICAL,2,STRENGTH,,DEXTERITY,BRAWL,Foe,"If the User has already received damage this round, add 2 Extra Dice to the Damage Pool.",The Pokémon fights ruthlessly and may retaliate fiercely against a foe that has hurt the user.
Reversal,fighting,PHYSICAL,1,STRENGTH,,DEXTERITY,BRAWL,Foe,Add 1 Extra Dice to the Damage Pool for every missing HP the User has. Up to 5 Dice may be added this Way.,The user gathers its mettle to block away the pain and focus on hitting harder.
Rock Smash,fighting,PHYSICAL,2,STRENGTH,,DEXTERITY,BRAWL,Foe,Roll 5 Chance Dice to Reduce foe's Defense.,A powerful hit that can crush rocks. Used against a foe it is sure to leave an awful bruise and a crack on its armor.
Rolling Kick,fighting,PHYSICAL,2,STRENGTH,,DEXTERITY,BRAWL,Foe,Roll 3 Chance Dice to Flinch the Foe. -2 Accuracy.,The user spins in the air landing an impressive kick that may daze the target.
Sacred Sword,fighting,PHYSICAL,3,STRENGTH,,DEXTERITY,BRAWL,Foe,Ignore any Increases to the foe's Defense.,The user slashes its target with a mighty blade that no armor can stop.
Secret Sword,fighting,SPECIAL,3,SPECIAL,,DEXTERITY,CHANNEL,Foe,Apply the foe's Defense instead of its Sp. Defense to resist Damage from this Move,"An invisible wave cuts through the target, you can feel its sharp edge but you cannot see it."
Seismic Toss,fighting,PHYSICAL,0,,,STRENGTH,ATHLETIC,Foe,Roll Damage Dice according to the User's Rank. 1 Dice at Starter Rank. 2 Dice at Beginner Rank.  3 dice at Amateur Rank.  4 Dice at Ace Rank.  5 Dice at Professional Rank. Ignores Defense.,"The target gets launched up then falls face first into the ground, the stronger the user the higher the foe will be thrown."
Sky Uppercut,fighting,PHYSICAL,3,STRENGTH,,DEXTERITY,BRAWL,Foe, -1 Accuracy.,"The user attacks with an uppercut, throwing the foe skyward with lots of force."
Storm Throw,fighting,PHYSICAL,2,STRENGTH,,DEXTERITY,BRAWL,Foe,If the Accuracy Roll is successful this move becomes a Critical Hit.,The user impacts a weak spot with a powerful blow.
Submission,fighting,PHYSICAL,3,STRENGTH,,DEXTERITY,BRAWL,Foe,Recoil. -2 Accuracy.,The user recklessly struggles with the foe to pin it to the ground.
Superpower,fighting,PHYSICAL,5,STRENGTH,,STRENGTH,BRAWL,Foe,Lethal. Reduce User's Strength and Defense.,"The Pokémon makes use of all its force to deliver a crushing strike to the foe, this demands a lot from the user."
Triple Kick,fighting,PHYSICAL,1,STRENGTH,,DEXTERITY,BRAWL,Foe,Successive Actions. Add 1 Extra Dice to Damage Pool to the last kick performed. -1 Accuracy.,"The user throws three or more kicks, leaving the harder blow for the end."
Vacuum Wave,fighting,SPECIAL,2,SPECIAL,,DEXTERITY,CHANNEL,Foe,Priority 1.,The user pulls the enemy closer using the power of its ki. This traction has a lot of strength and may break anything it pulls.
Vital Throw,fighting,PHYSICAL,2,STRENGTH,,DEXTERITY,BRAWL,Foe,Low Priority 1. Never Fail.,The Pokémon awaits for the perfect moment to strike the foe.
Wake-Up Slap,fighting,PHYSICAL,2,STRENGTH,,DEXTERITY,BRAWL,Foe,"If the Foe is sleeping, Add 2 Extra Dice to the Damage Pool. The foe Wakes up afterwards.",A powerful slap that makes even the laziest Pokémon be well awake.
Blast Burn,fire,SPECIAL,6,SPECIAL,,SPECIAL,CHANNEL,Foe,Lethal. Must Recharge. -1 Accuracy.,The Pokemon uses all of its power to deliver an infernal blast to the foe. The user is left exhausted.
Blaze Kick,fire,PHYSICAL,3,STRENGTH,,DEXTERITY,BRAWL,Foe,High Critical. Roll 2 Chance Dice to Apply Burn 2 to the Foe. -1 Accuracy.,The user throws a mighty kick engulfed in fire that may leave a bad looking burn.
Blue Flare,fire,SPECIAL,6,SPECIAL,,SPECIAL,CHANNEL,Foe,Roll 2 Chance Dice to Apply Burn 3 to the foe. -2 Accuracy.,Reshiram surrounds itself with a giant blue flame that is unleashed with an earth shattering explosion. Receiving this attack directly might completely engulf you in fire.
Burn Up,fire,SPECIAL,7,SPECIAL,,WILL,CHANNEL,Foe,"Lethal. After Damage is dealt, the user is no longer considered a Fire-Type for the rest of the day (if its only type was Fire, it is now considered Typeless). Fire-type Moves won't add their Power to the Damage pool of this Pokémon for the rest of the day.",The User unleashes all of its might through a massive blast of raging fire. Although the damage is devastating the Pokemon is left unable to produce more fire for at least a day.
Ember,fire,SPECIAL,2,SPECIAL,,DEXTERITY,CHANNEL,Foe,Roll 1 Chance Dice to Burn the foe.,The user shoots a small flame against the target that may cause a first-degree burn.
Eruption,fire,SPECIAL,6,SPECIAL,,SPECIAL,CHANNEL,All Foes,Lethal. Reduce 1 Dice from the Damage Pool for every missing HP the User has. Up to 5 dice may be removed this way.,A fierce burst of lava coming from the user at full force charring whatever comes in contact with it.
Fiery Dance,fire,SPECIAL,3,SPECIAL,,DEXTERITY,PERFORM,Foe,Roll 5 Chance Dice to Increase the User's Special.,The user cloaks itself in flames and shoots them while dancing gracefully.
Fire Blast,fire,SPECIAL,5,SPECIAL,,SPECIAL,CHANNEL,Foe,Lethal. Roll 3 Chance Dice to apply Burn 3 to the foe. -2 Accuracy.,"The Pokemon shoots a giant fireball that explodes on contact with the foe, blasting fire in all directions."
Fire Fang,fire,PHYSICAL,2,STRENGTH,,DEXTERITY,BRAWL,Foe,Roll 2 Chance to Flinch the Foe. Roll 2 Chance Dice to Burn the foe. -1 Accuracy.,The user breathes fire from its mouth while biting the target.
Fire Lash,fire,PHYSICAL,3,STRENGTH,,DEXTERITY,BRAWL,Foe,Reduce Foe's Defense.,"With a whip of fire, the Pokemon ensnares its foe, who is left defenseless and at its mercy."
Fire Pledge,fire,SPECIAL,2,SPECIAL,,DEXTERITY,CHANNEL,Battlefield and Area,All flammable plants and objects in the battlefield are covered in flames. Roll 1 Dice of Fire Damage at the end of every Round against everyone on the field.,"The Pokemon chants to invoke the power of Fire. Its pledge is heard, then the flames consume everything around."
Fire Punch,fire,PHYSICAL,3,STRENGTH,,DEXTERITY,BRAWL,Foe,Fist Based. Roll 1 Chance Dice to apply Burn 2 to the foe.,The User can ignite its fists for a brief moment without any danger of getting burned. The foe may not be so lucky.
Fire Spin,fire,SPECIAL,2,SPECIAL,,DEXTERITY,CHANNEL,Foe,Blocks. Roll 2 Dice of Damage against the foe at the end of each Round. Lasts 4 Rounds. -2 Accuracy.,"The user creates a vortex of fire that remains spinning in the battlefield, trapping the foe within."
Flame Burst,fire,SPECIAL,3,SPECIAL,,DEXTERITY,CHANNEL,Foe,"After dealing damage, the user may roll 1 Dice of Damage against two other Targets.","A concentrated flameball that bursts on contact with the foe, scattering smaller flames around."
Flame Charge,fire,PHYSICAL,2,STRENGTH,,DEXTERITY,BRAWL,Foe,Increase the User's Dexterity.,The Pokemon uses its flames as propulsion to strike the foe.
Flame Wheel,fire,PHYSICAL,2,STRENGTH,,DEXTERITY,BRAWL,Foe,Roll 1 Chance Dice to Burn the foe.,The user cloaks itself in flames and rolls to tackle the target.
Flamethrower,fire,SPECIAL,3,SPECIAL,,DEXTERITY,CHANNEL,Foe,Roll 1 Chance Dice to Apply Burn 2 to the foe.,The user lets out a powerful fire stream that leaves a scorched trail.
Flare Blitz,fire,PHYSICAL,5,STRENGTH,,STRENGTH,BRAWL,Foe,Recoil. Roll 1 Chance Dice to Apply Burn 3 to the foe.,"The user sets itself on fire, recklessly charging against the target with a brutal strike."
Fusion Flare,fire,SPECIAL,4,SPECIAL,,SPECIAL,CHANNEL,Foe,"Lethal. If the Move “Fusion Bolt” has already been used by anyone this Round, add 4 Extra Dice to the Damage Pool of this Move","The Pokemon sets ablaze a swirling pillar upon the target, said pillar will grow taller and swirl faster if there's a special kind of charge nearby."
Heat Crash,fire,PHYSICAL,2,STRENGTH,,STRENGTH,BRAWL,Foe,Add 1 Extra Dice to the Damage Pool for every 50 kgs. of weight above the target's weight. Up to +4 Extra Dice may be added this way.,The user slams the target with a body engulfed in fire.
Heat Wave,fire,SPECIAL,3,SPECIAL,,DEXTERITY,CHANNEL,All Foes,Target all foes in Range. Roll 1 Chance Dice to Burn those affected. -1 Accuracy.,The user breathes a giant wave of incandescent air that might set fire to whatever it touches.
Incinerate,fire,SPECIAL,2,SPECIAL,,DEXTERITY,CHANNEL,All Foes,Destroy the held Berries of those affected.,The Pokemon releases a blast of fire that instantly consumes small flammable objects.
Inferno,fire,SPECIAL,4,SPECIAL,,DEXTERITY,CHANNEL,Foe,Lethal. Apply Burn 3 to the Foe. -3 Accuracy.,The Pokemon sets the foe on fire. These flames rise up to 6 feet. A very dangerous Move.
Lava Plume,fire,SPECIAL,3,SPECIAL,,DEXTERITY,CHANNEL,Area,Roll 3 Chance Dice to Burn those affected.,The user shoots up bits of molten lava that fall scattered around the field.
Magma Storm,fire,SPECIAL,4,SPECIAL,,SPECIAL,CHANNEL,Foe,Blocks. Roll 3 Damage Dice at the end of each Round. Lasts 4 Rounds. -2 Accuracy.,The Pokemon shoots a fiery eruption to its foe. Unable to escape and surrounded by the unbearable heat the foe's survival is at risk.
Mind Blown,fire,SPECIAL,6,SPECIAL,,INSIGHT,CHANNEL,Area,Area Attack. Recoil.,"The Pokemon has had a terrible day and has a very bad headache, try not to disturb its peace because its head feels like exploding."
Mystical Fire,fire,SPECIAL,2,SPECIAL,,DEXTERITY,CHANNEL,Foe,Reduce Foe's Special.,"This mystical fire not only burns the foe, it also drains its power."
Overheat,fire,SPECIAL,6,SPECIAL,,SPECIAL,CHANNEL,Foe,Lethal. Reduce User's Special by 2. -1 Accuracy.,"A furious wave of scorching fire that will turn to ashes everything it touches, exhausting the user afterwards."
Pyro Ball,fire,PHYSICAL,5,STRENGTH,,STRENGTH,CHANNEL,Foe,Roll 1 Chance Dice to Apply Burn 2 to the Foe. -1 Accuracy.,"The Pokemon lights a heavy stone on fire and kicks it while it's ablaze. The hit is pretty heavy already, the fire is just for showing off."
Sacred Fire,fire,PHYSICAL,4,STRENGTH,,DEXTERITY,CHANNEL,Foe,Lethal. Roll 5 Chance Dice to Apply Burn 3 to the Foe.,"A blazing pillar of rainbow-colored flames crashes upon the foe, it burns and cleanses the evil from within. Those with a pure heart should not fear for they'll be unharmed."
Searing Shot,fire,SPECIAL,5,SPECIAL,,SPECIAL,CHANNEL,All Foes,Lethal. All Foes in Range. Roll 3 Chance Dice to Apply Burn 2 those Affected.,The User torches everything around itself in a sudden burst of scarlet flames. Everything is brought to cinders in a matter of seconds.
Shell Trap,fire,SPECIAL,6,SPECIAL,,DEXTERITY,STEALTH,Foe,Low Priority 3. This Move strikes the next time the user is hit with a Non-Ranged Physical attack.,"It apparently just buries underground, but secretely the Pokemon prepares its shell to detonate; anyone who steps on it will be blown to pieces."
Sizzly Slide,fire,PHYSICAL,3,STRENGTH,,DEXTERITY,BRAWL,Foe,"If the user of this Move is at its Final Stage of Evolution, this move fails. Burn the Foe.","The user slides on the floor as if it was ice-skating, only there is no ice, only a raging fire."
Sunny Day,fire,SUPPORT,0,,,SPECIAL,NATURE,Battlefield,Sunny Weather is activated for the next 4 Rounds.,"The Pokemon will raise the temperature along with the sun, it doesn't work at night, indoors, underground, or underwater."
V-Create,fire,PHYSICAL,7,STRENGTH,,STRENGTH,BRAWL,Foe,"Reduce the user's Dexterity, Defense, and Sp. Defense.","The user slams its foe with a V-Shaped flame on its forehead. Upon impact, it detonates a terrible explosion and leaves the user pretty vulnerable afterwards."
Will-O-Wisp,fire,SUPPORT,0,,,DEXTERITY,CHANNEL,Foe,Burn the Foe. -2 Accuracy.,The user calls a floating ember to consume the foe.
Acrobatics,flying,PHYSICAL,4,STRENGTH,,DEXTERITY,BRAWL,Foe,"If the User has a Held Item, remove 2 Dice from the Damage Roll.","The user makes quick and graceful acrobatic moves to hit the foe, it will be swifter if nothing gets in the way."
Aerial Ace,flying,PHYSICAL,2,STRENGTH,,DEXTERITY,BRAWL,Foe,Never Fail.,"The Pokemon rises up in the air towards a light source, momentarily blinding the foe, then plummets quickly to attack the opponent."
Aeroblast,flying,SPECIAL,4,SPECIAL,,SPECIAL,CHANNEL,Foe,Lethal. High Critical.,The victim is trapped in a violently swirling vortex. The strong wind currents make debris fly everywhere.
Air Cutter,flying,SPECIAL,2,SPECIAL,,DEXTERITY,CHANNEL,All Foes,Target all foes in Range. High Critical.,The user will send out a wave of sharp wind that will harm anything it touches.
Air Slash,flying,SPECIAL,3,SPECIAL,,DEXTERITY,CHANNEL,Foe,Roll 3 Chance Dice to Flinch the foe.,The user will surround the foe with razor-like wind that may knock it down.
Beak Blast,flying,PHYSICAL,4,STRENGTH,,DEXTERITY,BRAWL,Foe,"Ranged. Charge Move. Low Priority 3. If the User is hit by a Non Ranged Physical Attack while this move is charging, apply Burn 2 to the foe.","The Pokemon gets ready to release a boiling gas through its beak, which gets incredibly hot. The resulting blast sounds like a train's horn."
Bounce,flying,PHYSICAL,3,STRENGTH,,DEXTERITY,BRAWL,Foe,"Charge Move. While charging this Move, the user will be out of range. Roll 3 Chance Dice to Paralyze the foe.",The Pokemon will jump 30 feet in the air before landing on top of the foe. The user won't suffer any falling damage.
Brave Bird,flying,PHYSICAL,5,STRENGTH,,STRENGTH,BRAWL,Foe,Recoil.,"The Pokemon flies straight at the foe at full speed, the collision might hurt both of them."
Chatter,flying,SPECIAL,2,SPECIAL,,INSIGHT,PERFORM,Foe,Roll 3 Chance Dice to Confuse the foe. Sound based move.,The user starts talking and giving orders in human language. It may be extremely confusing for the foes.
Defog,flying,SUPPORT,0,,,INSIGHT,NATURE,Battlefield,"Remove all Barriers (ie. Light Screen, Reflect), Entry Hazards (Toxic Spikes, Stealth Rock, etc.), and Terrains (Misty Terrain, Electric Terrain, etc.) from the battlefield.",A strong current of wind that blows away any fog and even invisible barriers.
Dragon Ascent,flying,PHYSICAL,5,STRENGTH,,STRENGTH,BRAWL,Foe,Lethal. Reduce the user's Defense and Sp. Defense.,The user rises above the clouds and then comes crashing down against its foe in an instant. The strike is brutal for both.
Drill Peck,flying,PHYSICAL,3,STRENGTH,,DEXTERITY,BRAWL,Foe,-,The user pierces the foe with its beak used as a drill. A dangerous move.
Feather Dance,flying,SUPPORT,0,,,BEAUTY,PERFORM,Foe,Reduce the foe's Strength by 2.,"A beautiful dance that soothes the hearts of those who watch it, reducing their aggressive intentions."
Floaty Fall,flying,PHYSICAL,3,STRENGTH,,DEXTERITY,BRAWL,Foe,"Roll 3 Chance Dice to Flinch the Foe. If the user of this Move is at its Final Stage of Evolution, this move fails.","With the help of some air balloons, the user jumps up high and falls on top of its foe. The use of balloons in-battle is questionable, but the referee will allow them."
Fly,flying,PHYSICAL,3,STRENGTH,,DEXTERITY,BRAWL,Foe,"Charge Move. While charging this move the User will be out of range, with the exception of the attacks Hurricane and Thunder.","The user flies up high in one action, then drops and strikes in the next one. The Pokemon can fly for extremely long periods of time without getting tired."
Gust,flying,SPECIAL,2,SPECIAL,,DEXTERITY,CHANNEL,Foe,-,The Pokemon flaps its wings to strike the foe with wind.
Hurricane,flying,SPECIAL,5,SPECIAL,,SPECIAL,CHANNEL,Foe,Lethal. Roll 3 Chance Dice to Confuse the Foe. If Rain Weather in effect ignore this moves reduced accuracy. -2 Accuracy.,The user attacks by wrapping the opponent in a fierce wind that carries the target up into the sky.
Mirror Move,flying,SUPPORT,0,,,WILL,CHANNEL,Foe,Copies the last Damaging Move the foe has performed.,The user concentrates and manages to imitate the last move used by the foe.
Oblivion Wing,flying,SPECIAL,4,SPECIAL,,SPECIAL,CHANNEL,Foe,Lethal. High Critical.,"A dark wind rises, turning everything it touches into dust to be scattered until nothing remains. People, Pokemon, plants, everything fades until a distant memory."
Peck,flying,PHYSICAL,2,STRENGTH,,DEXTERITY,BRAWL,Foe,-,"The Pokemon uses its beak or horn to jab the foe, hurting a little bit."
Pluck,flying,PHYSICAL,2,STRENGTH,,DEXTERITY,BRAWL,Foe,"If the Target is holding a Berry, the User eats it and gains its effects.",The user gives a hard peck and may get something tasty out of the foe.
Roost,flying,SUPPORT,0,,,INSIGHT,NATURE,User,Basic Heal. Until the User's next action this Pokémon will be vulnerable to Ground Type moves.,The Pokemon uses its action to land on the ground and relax.
Sky Attack,flying,PHYSICAL,6,STRENGTH,,STRENGTH,BRAWL,Foe,Lethal. High Critical. Charge Move. Roll 3 Chance Dice to Flinch the foe. -1 Accuracy.,"The Pokemon darts from the sky with a graceful and lethal strike, propelling with the wind, crushing the foe to the ground."
Sky Drop,flying,PHYSICAL,2,STRENGTH,,DEXTERITY,BRAWL,Foe,Charge Move. While charging this move the Target is flinched. Flying Type Pokémon are immune to the Damage of this move. Lifting a target is restricted by the Strength of the User.,"The user carries the opponent to the sky, then drops the target from that altitude."
Tailwind,flying,SUPPORT,0,,,INSIGHT,NATURE,Battlefield,"For the Next 4 Rounds, Increase the Dexterity of the User and All Allies in the field by 2.",User flaps its wings and casts a turbulent wind that helps the team move significantly faster.
